,emotion_str,country,tweet,name,alpha-3,country-code,Country,Users (in million),Source,Total Tweets,tweetpm,date
287,sadness,Indonesia,66,Indonesia,IDN,360,Indonesia,11.8,,3954.0,5.59322033898305,April
288,sadness,Ireland,264,Ireland,IRL,372,Ireland,2.5,,12138.0,105.6,April
289,sadness,Italy,54,Italy,ITA,380,Italy,2.5,,3822.0,21.6,April
290,sadness,Japan,60,Japan,JPN,392,Japan,48.45,Statista,4314.0,1.2383900928792568,April
291,sadness,Kenya,204,Kenya,KEN,404,Kenya,8.2,google,9228.0,24.878048780487806,April
292,sadness,Kingdom of Saudi Arabia,24,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,1.6,April
293,sadness,Malaysia,84,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,21.53846153846154,April
294,sadness,Mexico,24,Mexico,MEX,484,Mexico,25.7,,1746.0,0.933852140077821,April
295,sadness,New Zealand,120,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,133.33333333333334,April
296,sadness,Nigeria,1074,Nigeria,NGA,566,Nigeria,8.4,,38400.0,127.85714285714285,April
297,sadness,Pakistan,240,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,92.3076923076923,April
298,sadness,Republic of Korea,12,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,1.9834710743801653,April
299,sadness,Republic of the Philippines,258,Republic of the Philippines,PHL,608,Republic of the Philippines,7.15,Statista,11472.0,36.08391608391608,April
300,sadness,Singapore,66,Singapore,SGP,702,Singapore,1.3,,3246.0,50.76923076923077,April
301,sadness,South Africa,1002,South Africa,ZAF,710,South Africa,8.5,Business Tech,27030.0,117.88235294117646,April
302,sadness,Spain,90,Spain,ESP,724,Spain,8.4,Statista,4080.0,10.714285714285714,April
303,sadness,Sri Lanka,24,Sri Lanka,LKA,144,Sri Lanka,0.5,,1698.0,48.0,April
304,sadness,Sweden,30,Sweden,SWE,752,Sweden,2.0,,1422.0,15.0,April
305,sadness,Switzerland,18,Switzerland,CHE,756,Switzerland,0.8,Digital report switzerland,1902.0,22.5,April
306,sadness,Thailand,12,Thailand,THA,764,Thailand,7.35,Statista,2736.0,1.6326530612244898,April
307,sadness,The Netherlands,48,The Netherlands,NLD,528,The Netherlands,2.8,,2970.0,17.142857142857142,April
308,sadness,Turkey,30,Turkey,TUR,792,Turkey,13.65,Statista,1134.0,2.1978021978021975,April
309,sadness,Uganda,132,Uganda,UGA,800,,,,,,April
310,sadness,United Arab Emirates,66,United Arab Emirates,ARE,784,United Arab Emirates,5.21,,4032.0,12.667946257197697,April
311,sadness,United Kingdom,3792,United Kingdom,GBR,826,United Kingdom,17.75,Statista,139284.0,213.6338028169014,April
312,sadness,United States,10266,United States,USA,840,United States,64.2,Statista,454626.0,159.90654205607476,April
313,surprise,Australia,894,Australia,AUS,36,Australia,5.0,Statista,22578.0,178.8,April
314,surprise,Belgium,66,Belgium,BEL,56,Belgium,1.0,,2268.0,66.0,April
315,surprise,Brazil,54,Brazil,BRA,76,Brazil,14.35,Statista,1734.0,3.7630662020905925,April
316,surprise,Canada,1722,Canada,CAN,124,Canada,8.15,Statista,38382.0,211.2883435582822,April
317,surprise,China,174,China,CHN,156,China,2.0,NY Times,7482.0,87.0,April
318,surprise,France,162,France,FRA,250,France,8.9,Statista,3192.0,18.202247191011235,April
319,surprise,Germany,138,Germany,DEU,276,Germany,6.1,Statista,4140.0,22.622950819672134,April
320,surprise,Ghana,426,Ghana,GHA,288,Ghana,2.0,,6312.0,213.0,April
321,surprise,Hong Kong,60,Hong Kong,HKG,344,Hong Kong,1.5,,2994.0,40.0,April
322,surprise,India,4398,India,IND,356,India,13.15,Statista,90480.0,334.4486692015209,April
323,surprise,Indonesia,162,Indonesia,IDN,360,Indonesia,11.8,,3954.0,13.728813559322033,April
324,surprise,Ireland,474,Ireland,IRL,372,Ireland,2.5,,12138.0,189.6,April
325,surprise,Italy,126,Italy,ITA,380,Italy,2.5,,3822.0,50.4,April
326,surprise,Japan,114,Japan,JPN,392,Japan,48.45,Statista,4314.0,2.3529411764705883,April
327,surprise,Kenya,426,Kenya,KEN,404,Kenya,8.2,google,9228.0,51.951219512195124,April
328,surprise,Kingdom of Saudi Arabia,42,Kingdom of Saudi Arabia,SAU,682,Kingdom of Saudi Arabia,15.0,Statista,1404.0,2.8,April
329,surprise,Malaysia,174,Malaysia,MYS,458,Malaysia,3.9,Statista,6930.0,44.61538461538461,April
330,surprise,Mexico,84,Mexico,MEX,484,Mexico,25.7,,1746.0,3.2684824902723735,April
331,surprise,New Zealand,174,New Zealand,NZL,554,New Zealand,0.9,google,4464.0,193.33333333333331,April
332,surprise,Nigeria,1860,Nigeria,NGA,566,Nigeria,8.4,,38400.0,221.42857142857142,April
333,surprise,Pakistan,336,Pakistan,PAK,586,Pakistan,2.6,google,8358.0,129.23076923076923,April
334,surprise,Republic of Korea,30,Republic of Korea,KOR,410,Republic of Korea,6.05,Statista,1848.0,4.958677685950414,April
