kode_negara,jumlah_koloni,produksi_madu_per_koloni,total_produksi,stok(pon),harga_per_pon,nilai_total_produksi,tahun
AL,16000.0,71,1136000.0,159000.0,0.72,818000.0,1998
AZ,55000.0,60,3300000.0,1485000.0,0.64,2112000.0,1998
AR,53000.0,65,3445000.0,1688000.0,0.59,2033000.0,1998
CA,450000.0,83,37350000.0,12326000.0,0.62,23157000.0,1998
CO,27000.0,72,1944000.0,1594000.0,0.7,1361000.0,1998
FL,230000.0,98,22540000.0,4508000.0,0.64,14426000.0,1998
GA,75000.0,56,4200000.0,307000.0,0.69,2898000.0,1998
HI,8000.0,118,944000.0,66000.0,0.77,727000.0,1998
ID,120000.0,50,6000000.0,2220000.0,0.65,3900000.0,1998
IL,9000.0,71,639000.0,204000.0,1.19,760000.0,1998
IN,9000.0,92,828000.0,489000.0,0.85,704000.0,1998
IA,50000.0,78,3900000.0,2301000.0,0.7,2730000.0,1998
KS,16000.0,46,736000.0,390000.0,0.87,640000.0,1998
KY,3000.0,50,150000.0,51000.0,1.4,210000.0,1998
LA,41000.0,111,4551000.0,865000.0,0.59,2685000.0,1998
ME,10000.0,26,260000.0,117000.0,0.69,179000.0,1998
MD,7000.0,44,308000.0,92000.0,1.1,339000.0,1998
MI,80000.0,85,6800000.0,3672000.0,0.66,4488000.0,1998
MN,140000.0,79,11060000.0,2765000.0,0.65,7189000.0,1998
MS,18000.0,86,1548000.0,898000.0,0.58,898000.0,1998
MO,23000.0,66,1518000.0,455000.0,0.76,1154000.0,1998
MT,115000.0,122,14030000.0,5472000.0,0.64,8979000.0,1998
NE,64000.0,70,4480000.0,2240000.0,0.86,3853000.0,1998
NV,10000.0,46,460000.0,175000.0,1.65,759000.0,1998
NJ,11000.0,49,539000.0,167000.0,0.76,410000.0,1998
NM,14000.0,55,770000.0,470000.0,0.76,585000.0,1998
NY,65000.0,80,5200000.0,2444000.0,0.7,3640000.0,1998
NC,8000.0,59,472000.0,151000.0,1.38,651000.0,1998
ND,230000.0,128,29440000.0,8832000.0,0.63,18547000.0,1998
OH,18000.0,78,1404000.0,702000.0,0.83,1165000.0,1998
OK,4000.0,51,204000.0,63000.0,1.24,253000.0,1998
OR,50000.0,45,2250000.0,1620000.0,0.9,2025000.0,1998
PA,26000.0,66,1716000.0,789000.0,0.8,1373000.0,1998
SD,225000.0,95,21375000.0,10901000.0,0.64,13680000.0,1998
TN,7000.0,64,448000.0,121000.0,1.32,591000.0,1998
TX,91000.0,77,7007000.0,1612000.0,0.62,4344000.0,1998
UT,30000.0,58,1740000.0,557000.0,0.65,1131000.0,1998
VT,6000.0,64,384000.0,207000.0,0.85,326000.0,1998
VA,8000.0,37,296000.0,86000.0,1.33,394000.0,1998
WA,58000.0,51,2958000.0,1361000.0,0.64,1893000.0,1998
WV,6000.0,55,330000.0,155000.0,1.14,376000.0,1998
WI,89000.0,91,8099000.0,5264000.0,0.72,5831000.0,1998
WY,46000.0,60,2760000.0,524000.0,0.68,1877000.0,1998
AL,17000.0,68,1156000.0,185000.0,0.56,647000.0,1999
AZ,52000.0,62,3224000.0,1548000.0,0.62,1999000.0,1999
AR,52000.0,89,4628000.0,2592000.0,0.53,2453000.0,1999
CA,465000.0,60,27900000.0,9486000.0,0.55,15345000.0,1999
CO,27000.0,76,2052000.0,1436000.0,0.68,1395000.0,1999
FL,228000.0,102,23256000.0,4186000.0,0.53,12326000.0,1999
GA,65000.0,51,3315000.0,497000.0,0.64,2122000.0,1999
HI,8000.0,80,640000.0,32000.0,0.8,512000.0,1999
ID,120000.0,48,5760000.0,3110000.0,0.59,3398000.0,1999
IL,9000.0,66,594000.0,327000.0,1.15,683000.0,1999
IN,10000.0,81,810000.0,437000.0,0.9,729000.0,1999
IA,40000.0,65,2600000.0,2028000.0,0.65,1690000.0,1999
KS,13000.0,67,871000.0,854000.0,1.11,967000.0,1999
KY,3000.0,50,150000.0,12000.0,1.24,186000.0,1999
